na_handling_setting_name,min_similarity_threshold,algorithm_name,run_id,cluster
dropna,0.95,mis,2,15
dropna,0.95,mis,3,15
dropna,0.95,mis,4,13
dropna,0.95,mis,5,18
dropna,0.95,mis,6,17
dropna,0.95,mis,7,15
dropna,0.95,mis,8,17
dropna,0.95,mis,9,15
dropna,0.95,mis,10,14
dropna,0.95,mis,11,15
dropna,0.95,mis,12,16
dropna,0.95,mis,13,16
dropna,0.95,mis,14,16
dropna,0.95,mis,15,15
dropna,0.95,mis,16,16
dropna,0.95,mis,17,15
dropna,0.95,mis,18,14
dropna,0.95,mis,19,14
dropna,0.95,mis,20,15
dropna,0.95,mis,21,17
dropna,0.95,mis,22,17
dropna,0.95,mis,23,16
dropna,0.95,mis,24,16
dropna,0.95,mis,25,15
dropna,0.95,mis,26,18
dropna,0.95,mis,27,17
dropna,0.95,mis,28,16
dropna,0.95,mis,29,16
fillna,0.5,dominant,0,6
fillna,0.5,dominant,1,6
fillna,0.5,dominant,2,6
fillna,0.5,dominant,3,8
fillna,0.5,dominant,4,5
fillna,0.5,dominant,5,7
fillna,0.5,dominant,6,8
fillna,0.5,dominant,7,5
fillna,0.5,dominant,8,8
fillna,0.5,dominant,9,5
fillna,0.5,dominant,10,4
fillna,0.5,dominant,11,7
fillna,0.5,dominant,12,8
fillna,0.5,dominant,13,5
fillna,0.5,dominant,14,7
fillna,0.5,dominant,15,7
fillna,0.5,dominant,16,6
fillna,0.5,dominant,17,3
fillna,0.5,dominant,18,6
fillna,0.5,dominant,19,7
fillna,0.5,dominant,20,5
fillna,0.5,dominant,21,7
fillna,0.5,dominant,22,5
fillna,0.5,dominant,23,6
fillna,0.5,dominant,24,7
fillna,0.5,dominant,25,6
fillna,0.5,dominant,26,5
fillna,0.5,dominant,27,6
fillna,0.5,dominant,28,5
fillna,0.5,dominant,29,4
fillna,0.5,mis,0,5
fillna,0.5,mis,1,6
fillna,0.5,mis,2,6
fillna,0.5,mis,3,8
fillna,0.5,mis,4,5
fillna,0.5,mis,5,6
fillna,0.5,mis,6,7
fillna,0.5,mis,7,6
fillna,0.5,mis,8,6
fillna,0.5,mis,9,6
fillna,0.5,mis,10,7
fillna,0.5,mis,11,6
fillna,0.5,mis,12,6
fillna,0.5,mis,13,5
fillna,0.5,mis,14,5
fillna,0.5,mis,15,6
fillna,0.5,mis,16,6
fillna,0.5,mis,17,5
fillna,0.5,mis,18,7
fillna,0.5,mis,19,8
fillna,0.5,mis,20,5
fillna,0.5,mis,21,5
fillna,0.5,mis,22,4
fillna,0.5,mis,23,5
fillna,0.5,mis,24,5
fillna,0.5,mis,25,5
fillna,0.5,mis,26,6
fillna,0.5,mis,27,6
fillna,0.5,mis,28,7
fillna,0.5,mis,29,7
fillna,0.7,dominant,0,8
fillna,0.7,dominant,1,7
fillna,0.7,dominant,2,8
fillna,0.7,dominant,3,9
fillna,0.7,dominant,4,7
fillna,0.7,dominant,5,8
fillna,0.7,dominant,6,8
fillna,0.7,dominant,7,6
fillna,0.7,dominant,8,10
fillna,0.7,dominant,9,7
fillna,0.7,dominant,10,7
fillna,0.7,dominant,11,10
fillna,0.7,dominant,12,9
fillna,0.7,dominant,13,9
fillna,0.7,dominant,14,10
fillna,0.7,dominant,15,8
fillna,0.7,dominant,16,7
fillna,0.7,dominant,17,7
fillna,0.7,dominant,18,9
fillna,0.7,dominant,19,6
fillna,0.7,dominant,20,8
fillna,0.7,dominant,21,9
fillna,0.7,dominant,22,7
fillna,0.7,dominant,23,8
fillna,0.7,dominant,24,8
fillna,0.7,dominant,25,8
fillna,0.7,dominant,26,8
fillna,0.7,dominant,27,8
fillna,0.7,dominant,28,8
fillna,0.7,dominant,29,7
fillna,0.7,mis,0,9
fillna,0.7,mis,1,8
fillna,0.7,mis,2,9
fillna,0.7,mis,3,9
fillna,0.7,mis,4,7
fillna,0.7,mis,5,7
fillna,0.7,mis,6,8
fillna,0.7,mis,7,10
fillna,0.7,mis,8,8
fillna,0.7,mis,9,7
fillna,0.7,mis,10,9
fillna,0.7,mis,11,10
fillna,0.7,mis,12,8
fillna,0.7,mis,13,5
fillna,0.7,mis,14,6
fillna,0.7,mis,15,7
fillna,0.7,mis,16,8
fillna,0.7,mis,17,8
fillna,0.7,mis,18,7
fillna,0.7,mis,19,5
fillna,0.7,mis,20,8
fillna,0.7,mis,21,8
fillna,0.7,mis,22,7
fillna,0.7,mis,23,10
fillna,0.7,mis,24,7
fillna,0.7,mis,25,7
fillna,0.7,mis,26,8
fillna,0.7,mis,27,9
fillna,0.7,mis,28,8
fillna,0.7,mis,29,10
fillna,0.9,dominant,0,14
fillna,0.9,dominant,1,13
fillna,0.9,dominant,2,13
fillna,0.9,dominant,3,15
fillna,0.9,dominant,4,13
fillna,0.9,dominant,5,12
fillna,0.9,dominant,6,14
fillna,0.9,dominant,7,13
fillna,0.9,dominant,8,13
fillna,0.9,dominant,9,12
fillna,0.9,dominant,10,14
fillna,0.9,dominant,11,12
fillna,0.9,dominant,12,13
fillna,0.9,dominant,13,13
fillna,0.9,dominant,14,12
fillna,0.9,dominant,15,14
fillna,0.9,dominant,16,14
fillna,0.9,dominant,17,11
fillna,0.9,dominant,18,12
fillna,0.9,dominant,19,14
fillna,0.9,dominant,20,13
fillna,0.9,dominant,21,13
fillna,0.9,dominant,22,15
fillna,0.9,dominant,23,16
fillna,0.9,dominant,24,12
fillna,0.9,dominant,25,12
fillna,0.9,dominant,26,13
fillna,0.9,dominant,27,14
fillna,0.9,dominant,28,13
fillna,0.9,dominant,29,13
fillna,0.9,mis,0,12
fillna,0.9,mis,1,11
fillna,0.9,mis,2,13
fillna,0.9,mis,3,15
fillna,0.9,mis,4,13
fillna,0.9,mis,5,15
fillna,0.9,mis,6,15
fillna,0.9,mis,7,13
fillna,0.9,mis,8,13
fillna,0.9,mis,9,14
fillna,0.9,mis,10,12
fillna,0.9,mis,11,14
fillna,0.9,mis,12,15
fillna,0.9,mis,13,12
fillna,0.9,mis,14,13
fillna,0.9,mis,15,13
fillna,0.9,mis,16,14
fillna,0.9,mis,17,14
fillna,0.9,mis,18,13
fillna,0.9,mis,19,14
fillna,0.9,mis,20,13
fillna,0.9,mis,21,12
fillna,0.9,mis,22,13
fillna,0.9,mis,23,14
fillna,0.9,mis,24,13
fillna,0.9,mis,25,13
fillna,0.9,mis,26,12
fillna,0.9,mis,27,14
fillna,0.9,mis,28,14
fillna,0.9,mis,29,12
fillna,0.95,dominant,0,15
fillna,0.95,dominant,1,15
fillna,0.95,dominant,2,14
fillna,0.95,dominant,3,16
fillna,0.95,dominant,4,14
fillna,0.95,dominant,5,16
fillna,0.95,dominant,6,16
fillna,0.95,dominant,7,17
fillna,0.95,dominant,8,15
fillna,0.95,dominant,9,15
fillna,0.95,dominant,10,16
fillna,0.95,dominant,11,14
fillna,0.95,dominant,12,17
fillna,0.95,dominant,13,15
fillna,0.95,dominant,14,14
fillna,0.95,dominant,15,17
fillna,0.95,dominant,16,16
fillna,0.95,dominant,17,12
fillna,0.95,dominant,18,15
fillna,0.95,dominant,19,17
fillna,0.95,dominant,20,16
fillna,0.95,dominant,21,15
fillna,0.95,dominant,22,17
fillna,0.95,dominant,23,18
fillna,0.95,dominant,24,13
fillna,0.95,dominant,25,16
fillna,0.95,dominant,26,15
fillna,0.95,dominant,27,15
fillna,0.95,dominant,28,16
fillna,0.95,dominant,29,17
fillna,0.95,mis,0,17
fillna,0.95,mis,1,16
fillna,0.95,mis,2,16
fillna,0.95,mis,3,13
fillna,0.95,mis,4,17
fillna,0.95,mis,5,15
fillna,0.95,mis,6,13
fillna,0.95,mis,7,14
fillna,0.95,mis,8,14
fillna,0.95,mis,9,15
fillna,0.95,mis,10,15
fillna,0.95,mis,11,16
fillna,0.95,mis,12,16
fillna,0.95,mis,13,17
fillna,0.95,mis,14,15
fillna,0.95,mis,15,16
fillna,0.95,mis,16,14
fillna,0.95,mis,17,15
fillna,0.95,mis,18,16
fillna,0.95,mis,19,15
fillna,0.95,mis,20,15
fillna,0.95,mis,21,14
fillna,0.95,mis,22,17
fillna,0.95,mis,23,16
fillna,0.95,mis,24,15
fillna,0.95,mis,25,14
fillna,0.95,mis,26,16
fillna,0.95,mis,27,16
fillna,0.95,mis,28,19
fillna,0.95,mis,29,14
