,labels,samples_per_cluster,silhouette_score
cluster_22,"[ 3  1  5 11  2 10 10 10  4 10  9  9  4  4  1  9  9  4  9  9  1  1  1  1
  1  4  1  1  1  4  1  1  1  1  1  4  4  1  4  1  1  1  1  1  1  4  4  4
  4  1  1  1  4  4  1 10  4 10 10 10  1  1  1  1  1  6 17  4  3  9  1  4
  4  1  1  1  0  1  0 12  6 18  1 20 21  4 14  1  8 13  5  3  1 15  0  4
  4  4  4  4  3  3  0 14  1  0  1 19  1 14 12 16  0  0  7  1  1  1  1  1
  1  1  1  1  1  1  1  0  0  1  2  2  2  1  1  1  2  2  1  1  1  1  1  1
  1  8  1  1  1  1  1  1  1  2  2  2  1  1  1  2  2  1  1  1  1  1  1  1
  1  1  1  1  1  1  8  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  2  2  2  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 129, 4: 25, 2: 16, 0: 9, 10: 8, 9: 7, 3: 5, 8: 3, 14: 3, 5: 2, 6: 2, 12: 2, 17: 1, 20: 1, 19: 1, 18: 1, 11: 1, 16: 1, 15: 1, 13: 1, 7: 1, 21: 1}",0.6115791823833532
cluster_23,"[ 3  1  2 11  0 10 10 10  4 10  9  9  4  4  1  9  9  4  9  9  1  1  1  1
  1  4  1  1  1  4  1  1  1  1  1  4  4  1  4  1  1  1  1  1  1  4  4  4
  4  1  1  1  4  4  1 10  4 10 10 10  1  1  1  1  1  6 17  4  3  9  1  4
  4  1  1  1  5  1  5 12  6 18  1 20 21  4 14  1  8 13  2  3  1 15  5  4
  4  4  4  4  3  3  5 14  1  5  1 19  1 14 12 16 22  5  7  1  1  1  1  1
  1  1  1  1  1  1  1  5  5  1  0  0  0  1  1  1  0  0  1  1  1  1  1  1
  1  8  1  1  1  1  1  1  1  0  0  0  1  1  1  0  0  1  1  1  1  1  1  1
  1  1  1  1  1  1  8  1  1  1  1  1  0  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  0  0  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 129, 4: 25, 0: 16, 5: 8, 10: 8, 9: 7, 3: 5, 14: 3, 8: 3, 6: 2, 12: 2, 2: 2, 17: 1, 21: 1, 20: 1, 19: 1, 18: 1, 11: 1, 16: 1, 15: 1, 13: 1, 7: 1, 22: 1}",0.6002499496904357
cluster_24,"[ 3  1  0 23  2 10 10 10  4 10  9  9  4  4  1  9  9  4  9  9  1  1  1  1
  1  4  1  1  1  4  1  1  1  1  1  4  4  1  4  1  1  1  1  1  1  4  4  4
  4  1  1  1  4  4  1 10  4 10 10 10  1  1  1  1  1  6 17  4  3  9  1  4
  4  1  1  1  5  1  5 12  6 18  1 20 21  4 14  1  8 13  0  3  1 15  5  4
  4  4  4  4  3  3  5 14  1  5  1 19  1 14 12 16 22  5  7  1  1  1  1  1
  1  1  1  1  1  1  1  5  5  1  2 11 11  1  1  1 11 11  1  1  1  1  1  1
  1  8  1  1  1  1  1  1  1 11 11 11  1  1  1 11 11  1  1  1  1  1  1  1
  1  1  1  1  1  1  8  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1  1  1
  1  1  1 11 11 11 11  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 129, 4: 25, 11: 13, 5: 8, 10: 8, 9: 7, 3: 5, 2: 3, 14: 3, 8: 3, 0: 2, 12: 2, 6: 2, 7: 1, 13: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1}",0.5974883393489872
cluster_25,"[ 3  1 24 23  0 10 10 10  4 10  9  9  4  4  1  9  9  4  9  9  1  1  1  1
  1  4  1  1  1  4  1  1  1  1  1  4  4  1  4  1  1  1  1  1  1  4  4  4
  4  1  1  1  4  4  1 10  4 10 10 10  1  1  1  1  1  2 17  4  3  9  1  4
  4  1  1  1  5  1  5 12  2 18  1 20 21  4  6  1  8 13 14  3  1 15  5  4
  4  4  4  4  3  3  5  6  1  5  1 19  1  6 12 16 22  5  7  1  1  1  1  1
  1  1  1  1  1  1  1  5  5  1  0 11 11  1  1  1 11 11  1  1  1  1  1  1
  1  8  1  1  1  1  1  1  1 11 11 11  1  1  1 11 11  1  1  1  1  1  1  1
  1  1  1  1  1  1  8  1  1  1  1  1  0  1  1  1  1  1  1  1  1  1  1  1
  1  1  1 11 11 11 11  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 129, 4: 25, 11: 13, 10: 8, 5: 8, 9: 7, 3: 5, 0: 3, 6: 3, 8: 3, 12: 2, 2: 2, 7: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1}",0.5923646802303896
cluster_26,"[ 1  0 24 23 25 10 10 10  4 10  9  9  4  4  0  9  9  4  9  9  0  0  0  0
  0  4  0  0  0  4  0  0  0  0  0  4  4  0  4  0  0  0  0  0  0  4  4  4
  4  0  0  0  4  4  0 10  4 10 10 10  0  0  0  0  0  2 17  4  1  9  0  4
  4  0  0  0  5  0  5 12  2 18  0 20 21  4  6  0  3 13 14  1  0 15  5  4
  4  4  4  4  1  1  5  6  0  5  0 19  0  6 12 16 22  5  7  0  0  0  0  0
  0  0  0  0  0  0  0  5  5  0  8 11 11  0  0  0 11 11  0  0  0  0  0  0
  0  3  0  0  0  0  0  0  0 11 11 11  0  0  0 11 11  0  0  0  0  0  0  0
  0  0  0  0  0  0  3  0  0  0  0  0  8  0  0  0  0  0  0  0  0  0  0  0
  0  0  0 11 11 11 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 129, 4: 25, 11: 13, 5: 8, 10: 8, 9: 7, 1: 5, 6: 3, 3: 3, 8: 2, 2: 2, 12: 2, 24: 1, 19: 1, 23: 1, 22: 1, 21: 1, 20: 1, 13: 1, 18: 1, 17: 1, 16: 1, 15: 1, 14: 1, 7: 1, 25: 1}",0.5860224795454527
cluster_27,"[ 0  9 24 23 25 10 10 10  1 10  4  4  1  1  9  4  4  1  4  4 12  9 12  9
 12  1  9  9  9  1  9  9  9  9  9  1  1  9  1  9  9  9  9  9  9  1  1  1
  1  9  9  9  1  1  9 10  1 10 10 10  9  9  9  9  9  2 17  1  0  4  9  1
  1  9  9 12  5 12  5 26  2 18  9 20 21  1  6  9  3 13 14  0  9 15  5  1
  1  1  1  1  0  0  5  6  9  5  9 19  9  6 26 16 22  5  7  9  9  9  9  9
  9  9  9  9  9  9  9  5  5  9  8 11 11  9  9 12 11 11  9  9  9  9  9  9
  9  3  9  9  9  9  9 12  9 11 11 11  9  9  9 11 11  9  9  9  9 12  9  9
  9  9  9  9  9  9  3  9  9  9  9 12  8  9  9 12  9  9  9  9  9  9  9  9
  9  9  9 11 11 11 11  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9]","{9: 119, 1: 25, 11: 13, 12: 10, 10: 8, 5: 8, 4: 7, 0: 5, 3: 3, 6: 3, 26: 2, 8: 2, 2: 2, 7: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 13: 1}",0.6089826131623947
cluster_28,"[11  9 24 23 25 10 10 10  1 10  4  4  1  1  9  4  4  1  4  4 12  9 12  9
 12  1  9  9  9  1  9  9  9  9  9  1  1  9  1  9  9  9  9  9  9  1  1  1
  1  9  9  9  1  1  9 10  1 10 10 10  9  9  9  9  9  0 17  1 11  4  9  1
  1  9  9 12  2 12  2 26  0 18  9 20 21  1  6  9  3 27 14 11  9 15  2  1
  1  1  1  1 11 13  2  6  9  2  9 19  9  6 26 16 22  2  7  9  9  9  9  9
  9  9  9  9  9  9  9  2  2  9  8  5  5  9  9 12  5  5  9  9  9  9  9  9
  9  3  9  9  9  9  9 12  9  5  5  5  9  9  9  5  5  9  9  9  9 12  9  9
  9  9  9  9  9  9  3  9  9  9  9 12  8  9  9 12  9  9  9  9  9  9  9  9
  9  9  9  5  5  5  5  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9  9
  9  9  9  9  9]","{9: 119, 1: 25, 5: 13, 12: 10, 10: 8, 2: 8, 4: 7, 11: 4, 3: 3, 6: 3, 0: 2, 8: 2, 26: 2, 20: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 14: 1, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 13: 1, 7: 1, 27: 1}",0.6042658166588133
cluster_29,"[11  4 24 23 25 10 10 10  0 10  1  1  0  0  4  1  1  0  1  1 12  4 12  4
 12  0  4  4  4  0  4  4  4  4  4  0  0  4  0  4  4  4  4  4  4  0  0  0
  0  4  4  4  0  0  4 10  0 10 10 10  4  4  4  4  4 28 17  0 11  1  4  0
  0  4  4 12  2 12  2 26 19 18  4 20 21  0  6  4  3 27 14 11  4 15  2  0
  0  0  0  0 11 13  2  6  4  2  4  9  4  6 26 16 22  2  7  4  4  4  4  4
  4  4  4  4  4  4  4  2  2  4  8  5  5  4  4 12  5  5  4  4  4  4  4  4
  4  3  4  4  4  4  4 12  4  5  5  5  4  4  4  5  5  4  4  4  4 12  4  4
  4  4  4  4  4  4  3  4  4  4  4 12  8  4  4 12  4  4  4  4  4  4  4  4
  4  4  4  5  5  5  5  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4]","{4: 119, 0: 25, 5: 13, 12: 10, 10: 8, 2: 8, 1: 7, 11: 4, 3: 3, 6: 3, 26: 2, 8: 2, 20: 1, 25: 1, 27: 1, 24: 1, 23: 1, 22: 1, 21: 1, 14: 1, 19: 1, 18: 1, 17: 1, 16: 1, 15: 1, 13: 1, 9: 1, 7: 1, 28: 1}",0.6004530436475566
cluster_30,"[11  4 24 23 25 10 10 10  3 10  0  0 14 14  4  0  0 14  0  0 12  4 12  4
 12  3  4  4  4  3  4  4  4  4  4  3  3  4  3  4  4  4  4  4  4  3  3  3
  3  4  4  4  3  3  4 10  3 10 10 10  4  4  4  4  4 28 17 14 11  0  4  3
  3  4  4 12  2 12  2 26 19 18  4 20 21  3  6  4  1 27 29 11  4 15  2  3
  3  3  3  3 11 13  2  6  4  2  4  9  4  6 26 16 22  2  7  4  4  4  4  4
  4  4  4  4  4  4  4  2  2  4  8  5  5  4  4 12  5  5  4  4  4  4  4  4
  4  1  4  4  4  4  4 12  4  5  5  5  4  4  4  5  5  4  4  4  4 12  4  4
  4  4  4  4  4  4  1  4  4  4  4 12  8  4  4 12  4  4  4  4  4  4  4  4
  4  4  4  5  5  5  5  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4]","{4: 119, 3: 21, 5: 13, 12: 10, 10: 8, 2: 8, 0: 7, 11: 4, 14: 4, 6: 3, 1: 3, 8: 2, 26: 2, 28: 1, 27: 1, 21: 1, 25: 1, 24: 1, 23: 1, 22: 1, 15: 1, 20: 1, 19: 1, 18: 1, 17: 1, 16: 1, 13: 1, 9: 1, 7: 1, 29: 1}",0.6017192621678021
cluster_31,"[11  1 24 23 25 10 10 10  3 10  4 30 14 14  1  4  4 14  4  4 12  1 12  1
 12  3  1  1  1  3  1  1  1  1  1  3  3  1  3  1  1  1  1  1  1  3  3  3
  3  1  1  1  3  3  1 10  3 10 10 10  1  1  1  1  1 28 17 14 11  4  1  3
  3  1  1 12  2 12  2 26 19 18  1 20 21  3  6  1  0 27 29 11  1 15  2  3
  3  3  3  3 11 13  2  6  1  2  1  9  1  6 26 16 22  2  7  1  1  1  1  1
  1  1  1  1  1  1  1  2  2  1  8  5  5  1  1 12  5  5  1  1  1  1  1  1
  1  0  1  1  1  1  1 12  1  5  5  5  1  1  1  5  5  1  1  1  1 12  1  1
  1  1  1  1  1  1  0  1  1  1  1 12  8  1  1 12  1  1  1  1  1  1  1  1
  1  1  1  5  5  5  5  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 119, 3: 21, 5: 13, 12: 10, 10: 8, 2: 8, 4: 6, 11: 4, 14: 4, 0: 3, 6: 3, 8: 2, 26: 2, 21: 1, 28: 1, 27: 1, 29: 1, 25: 1, 24: 1, 23: 1, 22: 1, 15: 1, 20: 1, 19: 1, 18: 1, 17: 1, 16: 1, 13: 1, 9: 1, 7: 1, 30: 1}",0.6021301781090123
cluster_32,"[11  1 24 23 25 10 10 10  3 10  4 30 14 14  1  4  4 14  4  4  5  1  5  1
  5  3  1  1  1  3  1  1  1  1  1  3  3  1  3  1  1  1  1  1  1  3  3  3
  3  1  1  1  3  3  1 10  3 10 10 10  1  1  1  1  1 28 17 14 11  4  1  3
  3  1  1  5  0  5  0 26 19 18  1 20 21  3  6  1 12 27 29 11  1 31  0  3
  3  3  3  3 11 13  0  6  1  0  1  9  1  6 26 16 22  0 15  1  1  1  1  1
  1  1  1  1  1  1  1  0  0  1  8  2  2  1  1  5  2  2  1  1  1  1  1  1
  1 12  1  1  1  1  1  5  1  2  2  2  1  1  1  2  2  1  1  1  1  5  1  1
  1  1  1  1  1  1  7  1  1  1  1  5  8  1  1  5  1  1  1  1  1  1  1  1
  1  1  1  2  2  2  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 119, 3: 21, 2: 13, 5: 10, 0: 8, 10: 8, 4: 6, 11: 4, 14: 4, 6: 3, 8: 2, 12: 2, 26: 2, 30: 1, 29: 1, 22: 1, 28: 1, 27: 1, 25: 1, 24: 1, 23: 1, 16: 1, 21: 1, 20: 1, 19: 1, 18: 1, 17: 1, 15: 1, 13: 1, 9: 1, 7: 1, 31: 1}",0.5993863119971937
cluster_33,"[11  0 24 23 25  4  4  4  3  4  1 30 14 14  0  1  1 14  1  1  5  0  5  0
  5  3  0  0  0  3  0  0  0  0  0  3  3  0  3  0  0  0  0  0  0  3  3  3
  3  0  0  0  3  3  0  4  3  4  4  4  0  0  0  0  0 28 17 14 11  1  0  3
  3  0  0  5 10  5  7 26 19 18  0 20 21  3  6  0 12 27 29 11  0 31  7  3
  3  3  3  3 11 13  7  6  0  7  0  9  0  6 26 16 22 10 32  0  0  0  0  0
  0  0  0  0  0  0  0  7  7  0  8  2  2  0  0  5  2  2  0  0  0  0  0  0
  0 12  0  0  0  0  0  5  0  2  2  2  0  0  0  2  2  0  0  0  0  5  0  0
  0  0  0  0  0  0 15  0  0  0  0  5  8  0  0  5  0  0  0  0  0  0  0  0
  0  0  0  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 119, 3: 21, 2: 13, 5: 10, 4: 8, 1: 6, 7: 6, 14: 4, 11: 4, 6: 3, 10: 2, 12: 2, 8: 2, 26: 2, 31: 1, 23: 1, 30: 1, 29: 1, 28: 1, 27: 1, 25: 1, 24: 1, 16: 1, 22: 1, 21: 1, 20: 1, 19: 1, 18: 1, 17: 1, 15: 1, 13: 1, 9: 1, 32: 1}",0.600043459143093
cluster_34,"[11  6 24 23 25  4  4  4  3  4  1 30 14 14  6  1  1 14  1  1  5  6  5  6
  5  3  6  6  6  3  6  6  6  6  6  3  3  6  3  6  6  6  6  6  6  3  3  3
  3  6  6  6  3  3  6  4  3  4  4  4  6  6  6  6  6 28 17 14 11  1  6  3
  3  6  6  5 10  5 16 26 19 18  7 20 21  3  2  6 12 27 29 11  7 31 16  3
  3  3  3  3 11 13 16  2  6 16  6  9  7  2 26 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6  8  0  0  6  6  5  0  0  6  6  6  6  7  7
  6 12  6  6  6  6  6  5  7  0  0  0  6  6  6  0  0  6  6  6  6  5  6  6
  6  6  7  6  6  6 15  6  6  6  6  5  8  6  6  5  6  7  6  6  7  6  6  6
  6  6  6  0  0  0  0  6  6  6  6  6  6  6  6  6  6  6  6  7  6  6  6  6
  6  6  6  6  6]","{6: 109, 3: 21, 0: 13, 5: 10, 7: 10, 4: 8, 1: 6, 16: 6, 14: 4, 11: 4, 2: 3, 10: 2, 12: 2, 8: 2, 26: 2, 24: 1, 31: 1, 32: 1, 30: 1, 29: 1, 28: 1, 27: 1, 25: 1, 17: 1, 23: 1, 22: 1, 21: 1, 20: 1, 19: 1, 18: 1, 15: 1, 13: 1, 9: 1, 33: 1}",0.49178710637730233
cluster_35,"[11  6 24 23 25  4  4  4  1  4  0 30 14 14  6  0  0 14  0  0  5  6  5  6
  5  1  6  6  6  1  6  6  6  6  6  1  1  6  1  6  6  6  6  6  6  1  1  1
  1  6  6  6  1  1  6  4  1  4  4  4  6  6  6  6  6 28 17 14 11  0  6  1
  1  6  6  5 10  5 16 26 19 18  3 20 21  1  2  6 12 27 29 11  3 31 16  1
  1  1  1  1 11 13 16  2  6 16  6  9  3  2 26 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6  8 34 34  6  6  5  7  7  6  6  6  6  3  3
  6 12  6  6  6  6  6  5  3  7  7  7  6  6  6  7  7  6  6  6  6  5  6  6
  6  6  3  6  6  6 15  6  6  6  6  5  8  6  6  5  6  3  6  6  3  6  6  6
  6  6  6  7  7  7  7  6  6  6  6  6  6  6  6  6  6  6  6  3  6  6  6  6
  6  6  6  6  6]","{6: 109, 1: 21, 7: 11, 3: 10, 5: 10, 4: 8, 0: 6, 16: 6, 14: 4, 11: 4, 2: 3, 26: 2, 34: 2, 10: 2, 8: 2, 12: 2, 13: 1, 25: 1, 33: 1, 32: 1, 31: 1, 30: 1, 29: 1, 28: 1, 27: 1, 24: 1, 23: 1, 22: 1, 21: 1, 20: 1, 19: 1, 18: 1, 9: 1, 15: 1, 17: 1}",0.5062866807028508
cluster_36,"[11  6 24 23 25  4  4  4  1  4  8 30 14 14  6 26 26 14 26 26  2  6  2  6
  2  1  6  6  6  1  6  6  6  6  6  1  1  6  1  6  6  6  6  6  6  1  1  1
  1  6  6  6  1  1  6  4  1  4  4  4  6  6  6  6  6 28 35 14 11  8  6  1
  1  6  6  2 10  2 16 12 19 18  3 20 21  1  0  6  5 27 29 11  3 31 16  1
  1  1  1  1 11 13 16  0  6 16  6  9  3  0 12 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6 17 34 34  6  6  2  7  7  6  6  6  6  3  3
  6  5  6  6  6  6  6  2  3  7  7  7  6  6  6  7  7  6  6  6  6  2  6  6
  6  6  3  6  6  6 15  6  6  6  6  2 17  6  6  2  6  3  6  6  3  6  6  6
  6  6  6  7  7  7  7  6  6  6  6  6  6  6  6  6  6  6  6  3  6  6  6  6
  6  6  6  6  6]","{6: 109, 1: 21, 7: 11, 2: 10, 3: 10, 4: 8, 16: 6, 26: 4, 11: 4, 14: 4, 0: 3, 10: 2, 34: 2, 8: 2, 17: 2, 5: 2, 12: 2, 25: 1, 33: 1, 32: 1, 31: 1, 30: 1, 29: 1, 28: 1, 27: 1, 18: 1, 24: 1, 23: 1, 22: 1, 21: 1, 20: 1, 19: 1, 15: 1, 13: 1, 9: 1, 35: 1}",0.5133305289273102
cluster_37,"[ 5  6 24 23 25  4  4  4  1  4  8 30 14 14  6 26 26 14 26 26  0  6  0  6
  0  1  6  6  6  1  6  6  6  6  6  1  1  6  1  6  6  6  6  6  6  1  1  1
  1  6  6  6  1  1  6  4  1  4  4  4  6  6  6  6  6 28 35 14  5  8  6  1
  1  6  6  0 10  0 16 12 19 18  3 20 21  1 11  6  2 27 29  5  3 31 16  1
  1  1  1  1  5 13 16 36  6 16  6  9  3 11 12 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6 17 34 34  6  6  0  7  7  6  6  6  6  3  3
  6  2  6  6  6  6  6  0  3  7  7  7  6  6  6  7  7  6  6  6  6  0  6  6
  6  6  3  6  6  6 15  6  6  6  6  0 17  6  6  0  6  3  6  6  3  6  6  6
  6  6  6  7  7  7  7  6  6  6  6  6  6  6  6  6  6  6  6  3  6  6  6  6
  6  6  6  6  6]","{6: 109, 1: 21, 7: 11, 0: 10, 3: 10, 4: 8, 16: 6, 26: 4, 5: 4, 14: 4, 17: 2, 34: 2, 12: 2, 11: 2, 10: 2, 8: 2, 2: 2, 33: 1, 35: 1, 32: 1, 31: 1, 30: 1, 29: 1, 28: 1, 27: 1, 18: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 20: 1, 19: 1, 15: 1, 13: 1, 9: 1, 36: 1}",0.508517365244956
cluster_38,"[ 2  6 24 23 25  4  4  4  1  4  8 30 14 14  6 26 26 14 26 26 11  6 11  6
 37  1  6  6  6  1  6  6  6  6  6  1  1  6  1  6  6  6  6  6  6  1  1  1
  1  6  6  6  1  1  6  4  1  4  4  4  6  6  6  6  6 28 35 14  2  8  6  1
  1  6  6 11 10 11 16 12 19 18  3 20 21  1  5  6  0 27 29  2  3 31 16  1
  1  1  1  1  2 13 16 36  6 16  6  9  3  5 12 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6 17 34 34  6  6 11  7  7  6  6  6  6  3  3
  6  0  6  6  6  6  6 11  3  7  7  7  6  6  6  7  7  6  6  6  6 11  6  6
  6  6  3  6  6  6 15  6  6  6  6 11 17  6  6 11  6  3  6  6  3  6  6  6
  6  6  6  7  7  7  7  6  6  6  6  6  6  6  6  6  6  6  6  3  6  6  6  6
  6  6  6  6  6]","{6: 109, 1: 21, 7: 11, 3: 10, 11: 9, 4: 8, 16: 6, 26: 4, 2: 4, 14: 4, 0: 2, 17: 2, 34: 2, 10: 2, 12: 2, 8: 2, 5: 2, 31: 1, 28: 1, 29: 1, 30: 1, 35: 1, 32: 1, 33: 1, 36: 1, 27: 1, 19: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 20: 1, 18: 1, 15: 1, 13: 1, 9: 1, 37: 1}",0.5018347811036148
cluster_39,"[ 2  6 24 23 25  4  4  4  0  4  3 30 14 14  6 26 26 14 26 26 11  6 11  6
 37  0  6  6  6  0  6  6  6  6  6  0  0  6  0  6  6  6  6  6  6  0  0  0
  0  6  6  6  0  0  6  4  0  4  4  4  6  6  6  6  6 28 35 14  2  3  6  0
  0  6  6 11 10 11 16 12 19 38  1 20 21  0  5  6 18 27 29  2  1 31 16  0
  0  0  0  0  2 13 16 36  6 16  6  9  1  5 12 33 22 10 32  6  6  6  6  6
  6  6  6  6  6  6  6 16 16  6  8 34 34  6  6 11  7  7  6  6  6  6  1  1
  6 17  6  6  6  6  6 11  1  7  7  7  6  6  6  7  7  6  6  6  6 11  6  6
  6  6  1  6  6  6 15  6  6  6  6 11  8  6  6 11  6  1  6  6  1  6  6  6
  6  6  6  7  7  7  7  6  6  6  6  6  6  6  6  6  6  6  6  1  6  6  6  6
  6  6  6  6  6]","{6: 109, 0: 21, 7: 11, 1: 10, 11: 9, 4: 8, 16: 6, 2: 4, 26: 4, 14: 4, 5: 2, 3: 2, 8: 2, 12: 2, 34: 2, 10: 2, 28: 1, 31: 1, 29: 1, 30: 1, 36: 1, 32: 1, 33: 1, 35: 1, 37: 1, 27: 1, 19: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 20: 1, 18: 1, 17: 1, 15: 1, 13: 1, 9: 1, 38: 1}",0.49980519778844607
cluster_40,"[ 0  2 24 23 25  4  4  4  6  4  3 30 14 14  2 26 26 14 26 26 11  2 11  2
 37  6  2  2  2  6  2  2  2  2  2  6  6  2  6  2  2  2  2  2  2  6  6  6
  6  2  2  2  6  6  2  4  6  4  4  4  2  2  2  2  2 28 35 14  0  3  2  9
  6  2  2 11 10 11 16 12 39 38  1 20 21  9  5  2 18 27 29  0  1 31 16  6
  6  6  6  6  0 13 16 36  2 16  2 19  1  5 12 33 22 10 32  2  2  2  2  2
  2  2  2  2  2  2  2 16 16  2  8 34 34  2  2 11  7  7  2  2  2  2  1  1
  2 17  2  2  2  2  2 11  1  7  7  7  2  2  2  7  7  2  2  2  2 11  2  2
  2  2  1  2  2  2 15  2  2  2  2 11  8  2  2 11  2  1  2  2  1  2  2  2
  2  2  2  7  7  7  7  2  2  2  2  2  2  2  2  2  2  2  2  1  2  2  2  2
  2  2  2  2  2]","{2: 109, 6: 19, 7: 11, 1: 10, 11: 9, 4: 8, 16: 6, 0: 4, 14: 4, 26: 4, 10: 2, 12: 2, 8: 2, 5: 2, 9: 2, 34: 2, 3: 2, 32: 1, 29: 1, 30: 1, 31: 1, 35: 1, 33: 1, 36: 1, 37: 1, 28: 1, 38: 1, 20: 1, 27: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 19: 1, 18: 1, 17: 1, 15: 1, 13: 1, 39: 1}",0.5010342307689333
cluster_41,"[ 5  0 24 23 25  4  4  4  6  4  3 30 14 14  0 26 26 14 26 26 11  0 11  0
 37  6  0  0  0  6  0  0  0  0  0  6  6  0  6  0  0  0  0  0  0  6  6  6
  6  0  0  0  6  6  0  4  6  4  4  4  0  0  0  0  0 28 35 14 40  3  0  9
  6  0  0 11 10 11 16 12 39 38  1 20 21  9  2  0 18 27 29  5  1 31 16  6
  6  6  6  6  5 13 16 36  0 16  0 19  1  2 12 33 22 10 32  0  0  0  0  0
  0  0  0  0  0  0  0 16 16  0  8 34 34  0  0 11  7  7  0  0  0  0  1  1
  0 17  0  0  0  0  0 11  1  7  7  7  0  0  0  7  7  0  0  0  0 11  0  0
  0  0  1  0  0  0 15  0  0  0  0 11  8  0  0 11  0  1  0  0  1  0  0  0
  0  0  0  7  7  7  7  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
  0  0  0  0  0]","{0: 109, 6: 19, 7: 11, 1: 10, 11: 9, 4: 8, 16: 6, 26: 4, 14: 4, 5: 3, 9: 2, 34: 2, 8: 2, 12: 2, 2: 2, 10: 2, 3: 2, 30: 1, 31: 1, 32: 1, 33: 1, 36: 1, 35: 1, 37: 1, 38: 1, 28: 1, 39: 1, 29: 1, 20: 1, 27: 1, 25: 1, 24: 1, 23: 1, 22: 1, 21: 1, 19: 1, 18: 1, 17: 1, 15: 1, 13: 1, 40: 1}",0.49558690846474657
cluster_42,"[ 5  9 24 23 25  1  1  1  6  1  3 30 14 14  4 26 26 14 26 26 11  9 11  9
 37  6  4  4  4  6  4  4  4  4  4  6  6  4  6  4  9  9  9  9  9  6  6  6
  6  9  4  9  6  6  9  1  6  1  1  1  9  9  9  9  9 28 35 14 40  3  9 20
  6  4  4 11 10 11 16 12 39 38  0 41 21 20  2  4 18 27 29  5  0 31 16  6
  6  6  6  6  5 13 16 36  9 16  9 19  0  2 12 33 22 10 32  9  9  9  9  9
  9  9  9  9  9  9  9 16 16  9  8 34 34  9  9 11  7  7  9  9  9  9  0  0
  9 17  9  9  9  9  9 11  0  7  7  7  9  9  9  7  7  9  9  9  9 11  9  9
  9  9  0  9  9  9 15  9  9  9  9 11  8  9  9 11  9  0  9  9  0  9  9  9
  9  9  9  7  7  7  7  9  9  9  9  9  9  9  9  9  9  9  9  0  9  9  9  9
  9  9  9  9  9]","{9: 94, 6: 19, 4: 15, 7: 11, 0: 10, 11: 9, 1: 8, 16: 6, 26: 4, 14: 4, 5: 3, 10: 2, 12: 2, 2: 2, 34: 2, 8: 2, 20: 2, 3: 2, 35: 1, 31: 1, 32: 1, 33: 1, 36: 1, 37: 1, 38: 1, 39: 1, 29: 1, 40: 1, 30: 1, 21: 1, 28: 1, 27: 1, 25: 1, 24: 1, 23: 1, 22: 1, 19: 1, 18: 1, 17: 1, 15: 1, 13: 1, 41: 1}",0.5516780379589776
