,labels,samples_per_cluster,silhouette_score
cluster_12,"[ 1  0  5 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  8  0  1  0  0  0
  0  0  0  0  9  0  9  2  0  4  0  1 10  0  1  0  0  6  5  1  0  7  9  0
  0  0  0  0  1  1  9  1  0  9  0  4  0  1  2  2  9  9  3  0  0  0  0  0
  0  0  0  0  0  0  0  9  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 190, 1: 9, 9: 9, 2: 3, 4: 2, 5: 2, 3: 1, 6: 1, 7: 1, 8: 1, 10: 1, 11: 1}",0.7783201984065281
cluster_13,"[ 1  2 12 11  2  0  0  0  2  0  0  0  2  2  2  0  0  2  0  0  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  0  2  0  0  0  2  2  2  2  2  0  8  2  1  0  2  2
  2  2  2  2  9  2  9  5  0  4  2  1 10  2  1  2  2  6 12  1  2  7  9  2
  2  2  2  2  1  1  9  1  2  9  2  4  2  1  5  5  9  9  3  2  2  2  2  2
  2  2  2  2  2  2  2  9  9  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2]","{2: 173, 0: 17, 1: 9, 9: 9, 5: 3, 4: 2, 12: 2, 3: 1, 6: 1, 7: 1, 8: 1, 10: 1, 11: 1}",0.7152312502313822
cluster_14,"[ 1  0 12 11  0  5  5  5  0  5  5  5  0  0  0  5  5  0  5  5  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  5  0  5  5  5  0  0  0  0  0  6  8  0  1  5  0  0
  0  0  0  0  9  0  9  2  6  4  0  1 10  0  1  0  0 13 12  1  0  7  9  0
  0  0  0  0  1  1  9  1  0  9  0  4  0  1  2  2  9  9  3  0  0  0  0  0
  0  0  0  0  0  0  0  9  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 173, 5: 15, 1: 9, 9: 9, 2: 3, 4: 2, 6: 2, 12: 2, 3: 1, 7: 1, 8: 1, 10: 1, 11: 1, 13: 1}",0.6902162162323575
cluster_15,"[ 1  2 12 11  6  5  5  5  2  5  5  5  2  2  2  5  5  2  5  5  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  5  2  5  5  5  2  2  2  2  2 14  8  2  1  5  2  2
  2  2  2  2  9  2  9  0 14  4  2  1 10  2  1  2  2 13 12  1  2  7  9  2
  2  2  2  2  1  1  9  1  2  9  2  4  2  1  0  0  9  9  3  2  2  2  2  2
  2  2  2  2  2  2  2  9  9  2  6  6  6  2  2  2  6  6  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  6  6  6  2  2  2  6  6  2  2  2  2  2  2  2
  2  2  2  2  2  2  2  2  2  2  2  2  6  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  6  6  6  6  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  2  2]","{2: 157, 6: 16, 5: 15, 1: 9, 9: 9, 0: 3, 4: 2, 12: 2, 14: 2, 3: 1, 7: 1, 8: 1, 10: 1, 11: 1, 13: 1}",0.6189926646006665
cluster_16,"[ 1  0  5 11  6  2  2  2  0  2  2  2  0  0  0  2  2  0  2  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  2  2  2  0  0  0  0  0 14  8  0  1  2  0  0
  0  0  0  0  9  0  9 12 14  4  0  1 10  0  1  0  0 13  5  1  0 15  9  0
  0  0  0  0  1  1  9  1  0  9  0  4  0  1 12  7  9  9  3  0  0  0  0  0
  0  0  0  0  0  0  0  9  9  0  6  6  6  0  0  0  6  6  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  6  6  6  0  0  0  6  6  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  6  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  6  6  6  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 157, 6: 16, 2: 15, 1: 9, 9: 9, 4: 2, 5: 2, 12: 2, 14: 2, 3: 1, 7: 1, 8: 1, 10: 1, 11: 1, 13: 1, 15: 1}",0.6166080112930564
cluster_17,"[ 0  4  5 11  6  2  2  2  4  2  2  2  4  4  4  2  2  4  2  2  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  2  4  2  2  2  4  4  4  4  4 14  8  4  0  2  4  4
  4  4  4  4  9  4  9 12 14  1  4  0 10  4  0  4  3 13  5  0  4 15  9  4
  4  4  4  4  0  0  9  0  4  9  4  1  4  0 12 16  9  9  7  4  4  4  4  4
  4  4  4  4  4  4  4  9  9  4  6  6  6  4  4  4  6  6  4  4  4  4  4  4
  4  3  4  4  4  4  4  4  4  6  6  6  4  4  4  6  6  4  4  4  4  4  4  4
  4  4  4  4  4  4  3  4  4  4  4  4  6  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  6  6  6  6  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4]","{4: 154, 6: 16, 2: 15, 0: 9, 9: 9, 3: 3, 12: 2, 5: 2, 1: 2, 14: 2, 15: 1, 13: 1, 8: 1, 11: 1, 10: 1, 7: 1, 16: 1}",0.6233771783228998
cluster_18,"[ 3  1  5 11  6  2  2  2  1  2  2  2  1  1  1  2  2  1  2  2  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  2  1  2  2  2  1  1  1  1  1 14 17  1  3  2  1  1
  1  1  1  1  9  1  9 12 14  0  1  4 10  1  4  1  8 13  5  3  1 15  9  1
  1  1  1  1  3  3  9  4  1  9  1  0  1  4 12 16  9  9  7  1  1  1  1  1
  1  1  1  1  1  1  1  9  9  1  6  6  6  1  1  1  6  6  1  1  1  1  1  1
  1  8  1  1  1  1  1  1  1  6  6  6  1  1  1  6  6  1  1  1  1  1  1  1
  1  1  1  1  1  1  8  1  1  1  1  1  6  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  6  6  6  6  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1]","{1: 154, 6: 16, 2: 15, 9: 9, 3: 5, 4: 4, 8: 3, 14: 2, 12: 2, 0: 2, 5: 2, 10: 1, 11: 1, 7: 1, 13: 1, 15: 1, 16: 1, 17: 1}",0.627698515858232
cluster_19,"[ 3  0  5 11  6  2  2  2  0  2  2  2  0  0  0  2  2  0  2  2  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  2  2  2  0  0  0  0  0 14 17  0  3  2  0  0
  0  0  0  0  4  0  4 12 14 18  0  1 10  0  1  0  8 13  5  3  0 15  4  0
  0  0  0  0  3  3  4  1  0  4  0  9  0  1 12 16  4  4  7  0  0  0  0  0
  0  0  0  0  0  0  0  4  4  0  6  6  6  0  0  0  6  6  0  0  0  0  0  0
  0  8  0  0  0  0  0  0  0  6  6  6  0  0  0  6  6  0  0  0  0  0  0  0
  0  0  0  0  0  0  8  0  0  0  0  0  6  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  6  6  6  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0]","{0: 154, 6: 16, 2: 15, 4: 9, 3: 5, 1: 4, 8: 3, 14: 2, 5: 2, 12: 2, 17: 1, 16: 1, 15: 1, 9: 1, 13: 1, 11: 1, 10: 1, 7: 1, 18: 1}",0.6224111015780063
cluster_20,"[ 3  4  5 11  6  2  2  2  9  2  2  2  9  9  4  2  2  9  2  2  4  4  4  4
  4  9  4  4  4  9  4  4  4  4  4  9  9  4  9  4  4  4  4  4  4  9  9  9
  9  4  4  4  9  9  4  2  9  2  2  2  4  4  4  4  4 14 17  9  3  2  4  9
  9  4  4  4  1  4  1 12 14 18  4  0 10  9  0  4  8 13  5  3  4 15  1  9
  9  9  9  9  3  3  1  0  4  1  4 19  4  0 12 16  1  1  7  4  4  4  4  4
  4  4  4  4  4  4  4  1  1  4  6  6  6  4  4  4  6  6  4  4  4  4  4  4
  4  8  4  4  4  4  4  4  4  6  6  6  4  4  4  6  6  4  4  4  4  4  4  4
  4  4  4  4  4  4  8  4  4  4  4  4  6  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  6  6  6  6  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4]","{4: 129, 9: 25, 6: 16, 2: 15, 1: 9, 3: 5, 0: 4, 8: 3, 5: 2, 12: 2, 14: 2, 15: 1, 18: 1, 17: 1, 16: 1, 10: 1, 13: 1, 11: 1, 7: 1, 19: 1}",0.5996980551185223
cluster_21,"[ 3  4  5 11  2  0  0  0  9  0  0  0  9  9  4  0  0  9  0  0  4  4  4  4
  4  9  4  4  4  9  4  4  4  4  4  9  9  4  9  4  4  4  4  4  4  9  9  9
  9  4  4  4  9  9  4  0  9  0  0  0  4  4  4  4  4  6 17  9  3  0  4  9
  9  4  4  4  1  4  1 12  6 18  4 20 10  9 14  4  8 13  5  3  4 15  1  9
  9  9  9  9  3  3  1 14  4  1  4 19  4 14 12 16  1  1  7  4  4  4  4  4
  4  4  4  4  4  4  4  1  1  4  2  2  2  4  4  4  2  2  4  4  4  4  4  4
  4  8  4  4  4  4  4  4  4  2  2  2  4  4  4  2  2  4  4  4  4  4  4  4
  4  4  4  4  4  4  8  4  4  4  4  4  2  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  2  2  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4]","{4: 129, 9: 25, 2: 16, 0: 15, 1: 9, 3: 5, 8: 3, 14: 3, 5: 2, 6: 2, 12: 2, 16: 1, 19: 1, 18: 1, 17: 1, 10: 1, 15: 1, 13: 1, 11: 1, 7: 1, 20: 1}",0.5986810593076515
